titulo;director;productor;a�o;idioma;pais;formato;minutos;premier_mundial;compania_productora;premios;web_entradas;sinopsis_es;reparto;tipo
Pablo Bronstein;director;Productor;2012;idioma;Argentina;formato;4 min;si;compañia;"";"";"";"";Cortometraje
jhgjg;jhgj;jhg;jhg;jhg;Argentina;jhg;76 min;si;765;"";"";"";"";Cortometraje
Un Seul Corps;Sotiris Dounoukos;Francois Pierre Clavel;2014;French;Australia;DCP;19 min;no;Nestani Films;"";"";"";"";Cortometraje
le champ de bataille;talia lumbroso;delphine benroubi;2014;french;Francia;DCP, HD file;38 min;no;Palikao Films;"";"";"";"";Cortometraje
Le champ de bataille;Talia Lumbroso;Delphine Benroubi;2014;french;Argentina;DCP , HD file;38 min;si;Palikao Films;"";"";"";"";Cortometraje
VOCES EN EL AIRE;Jimena Echeverría, Nicolás Cuiñas, Diego Bürger;Jimena Echeverría, Nicolás Cuiñas, Diego Bürger;2014;español;Argentina;DCP;11 min;no;trestipos films;"";"";"";"";Cortometraje
Pablo Bronstein;kjhkh;kjhkh;56464;khk;Argentina;kkhjkh;98 min;si;987;"";"";"";"";Cortometraje
The Automatic Hate;Justin Lerner;Alix Madigan, Lacey Leavitt, Justin Lerner;2014;English;Estados Unidos;DCP (24 fps);97 min;no;BN Films & Leaky Pictures;"";"";"";"";Cortometraje
Hafta Sonu Tatili;Metehan Yilmaz;Zoe Johanna Horn;2014;Turkish;Turquía;DCP or ProRes LT files;28 min;si;MMY House;"";"";"";"";Cortometraje
Constitución;Jorge Pablo Dieguez;Jorge Pablo Dieguez;2014;español;Argentina;Digital o blueray;9  min;no;LaCueva.tv;"";"";"";"";Cortometraje
Una diapositiva;Mariano Graglia;Mariano Graglia;2014;español;Argentina;ProRes;6m min;si;Independiente;"";"";"";"";Cortometraje
Monedita ;Gonzalo Mejia ;Galo Cedeño ;2014 ;Español ;Ecuador;ProRes ;05 min;no;Omerta Producciones ;Mejor Corto 2014 - Mejor Director - Mejor Producción ;"";"";"";Cortometraje
Traeme tu amor ;Kenneth Carrera y Andrea Espinoza ;Carla Cañarte ;2014 ;Español ;Ecuador;Prores ;05 min;no;Omerta Producciones ;Mejor Actriz ;"";"";"";Cortometraje
Dulce Dolor;Moisés Aisemberg;Juan Sarquis ;2014;Sin diálogos;México;DCP;14 min;no;Filmaciones de la Ciudad ;"";"";"";"";Cortometraje
La maldita ilusión;Sergio Bonacci Lapalma;Sergio Bonacci Lapalma;2014;Español;Argentina;MP4 H.264;23 min;no;Maldita Producciones;"Declarado de \""Interés Comunal\"" por el gobierno municipal en la localidad donde se grabo.";"";"";"";Cortometraje
O Filho Pródigo;Felipe Arrojo Poroger;Diana land;2014;Português;Brasil;DCP (24fps);15 min;no;Finos Filmes;18ºCINE-PE: Mejor Guión, Mejor Actor, Mejor Actriz;"";"";"";Cortometraje
Small People with Hats;Sarina Nihei;Joan Ashworth;2014;English;Reino Unido;Quicktime H.264;06 min;si;Royal College of Art;Best student film at Anim\est, Bucharest/ Korea Animation Producers Association President\s Prize at PISAF 2014;"";"";"";Cortometraje
Hymn for him;Nikolay Sidorov;Vitalii Kozlenkov;2014;Russian/ Lithuanian;Rusia;MPEG4;06 min;si;Vit&Niko;-;"";"";"";Cortometraje
L\isola che c\era;alberto gambato;alberto gambato;2014;italian;Italia;h264 1080p;10 min;no;alberto gambato;Special Mention @ Green Screen Fest 2014 - Belgrade (SRB);"";"";"";Cortometraje
Entra. Acabou-se a 1ª Classe;Paulo Carneiro;Paulo Carneiro;2014;Creole and Portuguese;Guinea-Bissau;Bluray, archivos digitales ProResLT;30 min;si;Paulo Carneiro;"";"";"";"";Cortometraje
motu maeva;Maureen Fazendeiro;G.R.E.C / terratreme;2014;French, dutch;Francia;DCP;42 min;no;GREC;Best Short Film National Competition - DocLisboa;"";"";"";Cortometraje
Fruta Podrida;Sergi Arnau;Sergi Arnau;2014;Español;España;Archivo digital HD;13 min;si;/;/;"";"";"";Cortometraje
test en prd;test;test;554353;test;Argentina;test;te min;si;test;test;"";"";"";Cortometraje
Hvordan jeg bor, som du gerne ville vide;Christian Einshøj;Christian Einshøj;2014;Danish;Dinamarca;DCP;15 min;no;Norman Film;-;"";"";"";Cortometraje
(H)iviñas;Leandro Olgiati;Federico Araya;2014;Español;Argentina;DCP;9m min;no;Laboratorio Audiovisual Comunitario;"";"";"";"";Cortometraje
Luz, sombra e medo;mauricio bartok;mauricio bartok;2014;Portuguese;Brasil;digitales;3m min;no;mauricio bartok;none;"";"";"";Cortometraje
Debajo del tiempo;Matias Buzzalino;Carina Resnisky;2014;español;Argentina;DCP, ProResLT;15 min;si;Fauves Cine;"";"";"";"";Cortometraje
Memories & Guns;Vittorio Adinolfi;Edison Film;2014;Italian;Italia;DCP;72 min;si;Edison Film;"";"";"";"";Cortometraje
Debajo del tiempo;Matías Buzzalino;Carina Resnisky;2014;español;Argentina;DCP / archivo digital ProResLT;15 min;si;Fauves Cine;"";"";"";"";Cortometraje
PIEDRAS EN EL ZAPATO;CARLOS ROJAS;JOSE LEDESMAN;2013;ESPAÑOL;Colombia;HDCAM;46 min;si;EL SALMON URBANO ;NINGUNO;"";"";"";Cortometraje
La vie de chantier;Yann Pierre;Myriam Martou;2014;French/Portuguese;Francia;DCP, Pro res ;34 min;no;Grec;"";"";"";"";Cortometraje
Filme Som;Cesar Gananian and Alexandre Moura;Cesar Gananian and Ana Lisboa;2014;no dialogues;Brasil;DCP;9m min;si;Film Design;n/a;"";"";"";Cortometraje
Inercia;Lucía Osorio;Constanza Villalba;2014;Castellano;Argentina;HDCAM;12 min;si;Universidad Del Cine;"";"";"";"";Cortometraje
Greetings to the Ancestors;Ben Russell;Ben Russell;2014;Xhosa;Estados Unidos;DCP;29 min;no;Ben Russell;"";"";"";"";Cortometraje
Atlantis;Ben Russell;Ben Russell;2014;Maltese;Estados Unidos;DCP;23 min;no;Ben Russell;Prix du Nouvelles Vagues, Festival La Roche-sur-Yon;"";"";"";Cortometraje
HOLLYWOOD NAD DNIPROM. SNY Z ATLANTYDY;Oleg Chorny;Igor Savychenko;2014;Ukrainian&Russian;Ucrania;DCP;89 min;no;Directory Films With support of  Ukrainian State Film Agency;"";"";"";"";Cortometraje
Un Clásico;Natasha Gurfinkel;María Fernanda Velazquez, Natasha Gurfinkel, Universidad del Cine de Buenos Aires;2013;Español;Argentina;DCP, archivos digitales ProRes LT;6  min;no;Universidad del Cine de Buenos Aires;Premio del público en la muestra anual de cortos de la Universidad del Cine de Buenos Aires.;"";"";"";Cortometraje
DesaGüe;Agustin de Torres;Agustin de Torres;2014;Español;Argentina;Archivo Digital;11 min;no;Big Empanada;Mención Especial: Festival Nuevas Miradas para la Infancia y la Adolescencia 2014;"";"";"";Cortometraje
Por ver la luz en tus pupilas, decía mordicante el réprobo.;Simón Vélez;Simón Vélez;2014;Castellano;Argentina;DCP, ProRes, BluRay;8: min;si;Montañero cine;0;"";"";"";Cortometraje
Papillons de nuit;Kaspar Vogler;Kaspar Vogler;2014;french;Bélgica;DCP;19 min;si;self production;"";"";"";"";Cortometraje
Viaje de un hombre solo;Jorge Peña;Jorge Peña;2014;Castellano ;España;Digital (ProRes), Blueray;28 min;no;El árbol Boca Abajo;"";"";"";"";Cortometraje
Algum Lugar no Recreio;Caroline Fioratti;Rui Pires y André Montenegro;2014;Português;Brasil;DCP;22 min;si;Aurora Filmes;-;"";"";"";Cortometraje
Monedita ;Gonzalo Mejia ;Galo Cedeño ;2014 ;Español ;Ecuador;ProRes ;5: min;no;Omerta Producciones ;Mejor dirección, Mejor Producción, Mejor Cortometraje ;"";"";"";Cortometraje
Traeme tu Amor ;Kenneth Carrera y Andrea Espinoza ;Carla Cañarte ;2014 ;Español ;Ecuador;ProRes;5: min;no;Omerta Producciones ;Mejor Acrtriz ;"";"";"";Cortometraje
Traeme tu Amor ;Kenneth Carrera y Andrea Espinoza ;Carla Cañarte ;2014 ;Español ;Ecuador;ProrRes ;5: min;no;Omerta Producciones ;Mejor Acrtriz ;"";"";"";Cortometraje
1 mes y 2 días;Silvana Lopa;Silvana Lopa;2014;Español;Argentina;ProRes LT - DCP 24 fps;5m min;no;Silvana Lopa;"";"";"";"";Cortometraje
OUT;Joan Antúnez;Mariana Bastos;2014;Español;España;Archivo Digital ProRes;17 min;si;No;"";"";"";"";Cortometraje
CADENCIA;VIRGINIA ROTA;AULA ABIERTA S.A (ESCUELA UNIVERSITARIA TAI);2014;CASTELLANO;España;HDCAM;19 min;no;Aula Abierta S.A (Escuela Universitaria TAI);Actualmente en competición en la sección Cortometraje Documental Internacional en el Festival ICARO (Centroamérica);"";"";"";Cortometraje
Da meia-noite pro\ dia;Vanessa Duarte;Vanessa Duarte;2014;Portuguese;Portugal;H.264 (.mp4);23 min;no;No production company;"";"";"";"";Cortometraje
Y fue así que se convirtió en la Noche;Rosario Gianola;Analía Cura Caram- Rosario Gianola -Virginia Villafañe- Federico Paez  - Leonel Marco - Lorena Hurtado - Elias Huespe;2013-2014;ESPAÑOL;Argentina;HD/16:9/25p;00 min;si;NAPOLEÓN PRODUCCIONES;"";"";"";"";Cortometraje
Lucha Libre;Ann SIROT & Raphaël BALBONI;Jean-Yves ROUBIN;2013;french;Bélgica;DCP;12 min;no;Frakas Productions;"";"";"";"";Cortometraje
Picture Particles;Thorsten Fleisch;Thorsten Fleisch;2014;no dialogue;Alemania;DCP;5: min;no;Fleischfilm;none;"";"";"";Cortometraje
Para los Amigos;Paulina Dana ;Micaela Picco;2014;español;Argentina;DCP, ProRes;18 min;si;-;"";"";"";"";Cortometraje
La Montaña que Llora;Santiago Sánchez Ortega;Alexan Sarikamichian;2014;español;Argentina;dcp, prores;20 min;no;Lech\on Films;"";"";"";"";Cortometraje
TNB;Robert Bohrer, Emma Rosa Simon;Matthias Nerlich, Robert Bohrer, dffb;2014;German & French;Alemania;dcp;28 min;si;-;"";"";"";"";Cortometraje
NO ES LO QUE PARECE;MIGUEL ANGEL MOREIRAS;MIGUEL ANGEL MOREIRAS;2014;ESPAÑOL;Argentina;HDCAM;31 min;si;CLARA DE MAR PROD INDEPENDIENTES;---;"";"";"";Cortometraje
Boombox Eryri;Eilir Pierce;Migrations;2013;No Dialouge;Reino Unido;HDCAM;10 min;no;Migrations;Winner: MonMade Category;"";"";"";Cortometraje
Not a word about your mother;Daria Razumnikova;Elena Glikman;2014;Russian;Rusia;ProRes LT files;14 min;no;Ladya;"";"";"";"";Cortometraje
Viagem na chuva/ Viaje en la lluvia;Wesley Rodrigues;Wesley Rodrigues- Rita Valdez;2014;portugues;Brasil;archivos digitales ProRes LT;13 min;no;Armoria studio;Mejor producción goiania;"";"";"";Cortometraje
Fuga Descerebro;Emiliano Fernández Russo;Emiliano Fernández Russo;2014;Español;Argentina;Digital;10 min;no;Emiliano Fernández Russo;"";"";"";"";Cortometraje
Casa Tomada/ House Taken Over;Magdalena Pacheco;Magdalena Pacheco;2014;Ingles;Australia;ProRes;9  min;si;Magdalena Pacheco;"";"";"";"";Cortometraje
Ruinas Misteriosas;Macu Machín;Macu Machín;2014;Español;Argentina;.mov;13 min;no;Macu Machín;No;"";"";"";Cortometraje
Rotación 206 ;Hugo Mata Parducci ;Producciones En Colectivo;2014;Español ;España;HD;22 min;si;Producciones En Colectivo;xxxxxx;"";"";"";Cortometraje
Sola en Purmamarca;Carolina Zarzoso Paoloni;Carolina Zarzoso Paoloni;2014;Castellano;Argentina;ProRes HQ ;24 min;si;zetape producciones;"";"";"";"";Cortometraje
C\est mignon tout ça;Kévin Gourvellec;Jean Louis Lova Production;2014;French;Canadá;Prores 422;3m min;no;Jean Louis Lova Production;"";"";"";"";Cortometraje
Lanquidity;Kévin Gourvellec;Jean Louis Lova Production;2014;French;Canadá;Prores 422;6m min;si;Jean Louis Lova Production;"";"";"";"";Cortometraje
LES VISITES;Clément ABBEY;Véronique DUYS (Mediadiffusion);2014;french;Bélgica;DCP;40 min;no;Mediadiffusion;american (north and south) premiere;"";"";"";Cortometraje
Desde Afuera;Ayelén Rodriguez - Ana Lía Gromick;Ana Lia Gromick - Ayelén Rodriguez;2014;Español;Argentina;archivos digitales ProRes LT;8m min;no;¡Ahora!;"";"";"";"";Cortometraje
Children’s Rights;El Parvulesco;Teta Tsybulnyk;2014;Ukrainian;Ucrania;HD;30 min;si;Leopolis Cinema Group;"";"";"";"";Cortometraje
The Limits of Europe;El Parvulesco;Teta Tsybulnyk;2014;Ukrainian;Ucrania;HD;15 min;no;El Parvulesco;"";"";"";"";Cortometraje
Fingerspiel;Mauro Mueller;Teymour Tehrani, Damina J. Veg, Rocio Lopez;2014;Aleman;Alemania;DCP;25 min;no;Fidelio Films;/;"";"";"";Cortometraje
El Gran Vairitosky;Matias Carrizo;Javier Aguirre;2014;Español;Argentina;DCP, H264, BLU-RAY;00 min;no;Muchas Manos Films;Historias Breves 2010, de INCAA.;"";"";"";Cortometraje
La vida en marte;Juan Manuel Linch;Carolina De Paul;2014;Español;Argentina;HD .MOV;10 min;si;LVEM;"";"";"";"";Cortometraje
Bisturi de cuatro filos;Luciana Murujosa;Martina Santolo;2014;Castellano;Argentina;ProRes;9: min;no;Felpa Producciones;"";"";"";"";Cortometraje
De Sidere 7;Nicolás Grandi  y Lata Mani;Nicolás Grandi;2014;Inglés;Argentina;archivo digital ;38 min;no;Nicolás Grandi;---;"";"";"";Cortometraje
Calle Guise;Samuel Grandchamp;Samuel Grandchamp;2014;Español;Argentina;ProRes;6 min;no;NYU Tisch School of the Arts;"";"";"";"";Cortometraje
Eishech, Teshukatech;Nadav Mishali;Nadav Mishali;2014;Hebrew;Israel;DCP, ProRess 422 HQ;21 min;no;School of Audio and Visual Arts;"";"";"";"";Cortometraje
David Rat Got Married;Ariel pukacz;Ariel Pukacz;2012-2014;Español/Inglés;Argentina;HDCAM;13 min;no;Walden;"";"";"";"";Cortometraje
Um Filme Perdido;Eduardo Amaro;Eduardo Amaro;2014;Portugues;Portugal;DCP ou arquivos digitales ProRes ;11 min;no;Klapt Prod;-;"";"";"";Cortometraje
Nosotros, Ustedes, Ellos;Pavel Marcano;Pavel Marcano, Micaela Picco;2014;inglés;Argentina;pro res;14 min;si;FilmsToFestivals;"";"";"";"";Cortometraje
Hermanos;Laura Guinde;Pablo Fernández y Juan Iastrebner;2014;Español;Argentina;archivos digitales ProRes LT;00 min;si;NaiZ Films;"";"";"";"";Cortometraje
Karaganda;Max Weissberg;Shira Aharony;2014;Russian;Estados Unidos;DCP;25 min;no;American Film Institute;"\""Best Showcase Short\"" - Soho IFF \""Best Actor\"" - Charleston IFF \""Finalist\"" - A Film for Peace (Italy) \""Honorable Mention\"" - Santa Fe FF \""Honorable Mention ICA\"" - Dances With Films \""Top 5\"" Jury Selection - AFI Conservatory Showcase";"";"";"";Cortometraje
Apartheid I;Felipe Vergara Vargas;Felipe Vergara Vargas, Erika Vargas;2014;Español;Chile;ProResHQ;12 min;no;Peregrino Films / Valparaiso producciones;"";"";"";"";Cortometraje
Un Intellettuale in Borgata;Enzo De Camillis;Enzo De Camillis;2014;Italia;Italia;DVD;84 min;si;SAS Ciname;Finale RIFF - Finale Ischia - Miglior Documentario L. Bizzarri;"";"";"";Cortometraje
La traversée;Thibaut WOHLFAHRT;Jean-Yves ROUBIN;2013-2014;French;Francia;Format DCP : 2 :35 (scope) / Son : 5.1;35 min;si;Frakas Productions;"";"";"";"";Cortometraje
Schwitzen;iris blauensteiner;	 Daniela Praher;2014;german;Austria;dcp;30 min;no;sixpaclkfilm;best austrian newcomer @ Wien - VIS 2014 Vienna Independent Shorts  (23.05.2014-29.05.2014);"";"";"";Cortometraje
Musik;Stefan Bohun;	 David Bohun, Philipp Grandits;2014;german;Austria;dcp;38 min;no;sicpachfilm;Nomierung 2014@ First Step, Best Short Film @ diagonale;"";"";"";Cortometraje
Of Stains, Scraps & Tires;sebastian brameshuber;le fresnoy, kgp;2014;german, english;Austria;dcp;19 min;no;sixpackfilm;"";"";"";"";Cortometraje
der springende punkt.; Thomas Brandstätter, Andrea Maurer; Thomas Brandstätter, Andrea Maurer;2013;no;Austria;DCP;4 min;no;sixpackfilm;"";"";"";"";Cortometraje
 Riding my Tiger;ascan breuer;ascan breuer;2014;englsih javanese;Argentina;dcp;40 min;no;sixpackfilm;"";"";"";"";Cortometraje
Hiding in the Lights;Kathrina Daschner;Kathrina Daschner;2013;no;Austria;dcp;14 min;no;sixpackfilm;"";"";"";"";Cortometraje
Powder Placenta;katrina daschner;katrina daschner;2014;NO;Austria;DCP;9 min;no;sixpackfilm;"";"";"";"";Cortometraje
Wotruba;Thomas Draschan;Roland Hablesreiter;2014;no;Austria;dcp;7 min;no;sixpackfilm;"";"";"";"";Cortometraje
Still Dissolution;siegfried a. fruhauf;siegfried a. fruhauf;2013;no;Austria;dcp;3 min;no;sixpackfilm;"";"";"";"";Cortometraje
carte noire;michaela grill;michaela grill;2014;no;Austria;dcp;3 min;no;sixpackfilm;"";"";"";"";Cortometraje
Into the Great White Open;michaela grill;michaela grill;2015;no;Austria;dcp;16 min;no;sixpackfilm;"";"";"";"";Cortometraje
Optical Sound; Elke Groen, Christian Neubacher; Elke Groen, Christian Neubacher;2014;no;Austria;35mm;12 min;no;sixpackfilm;"";"";"";"";Cortometraje
Rooms;johannes hammel;johannes hammel;2013;no;Austria;digibeta pal;9 min;no;sixpackfilm;"";"";"";"";Cortometraje
Tiniest Dreams;Randy Sterling Hunter;Randy Sterling Hunter;2014;english;Argentina;pro res file;6 min;no;sixpackfilm;"";"";"";"";Cortometraje
Yo no veo crisis;david krems;david krems;2014;spanish;Austria;hdcam;15 min;si;sixpackfilm;"";"";"";"";Cortometraje
E# - from a glacial tune;peter kutin, florian kindlinger;peter kutin, florian kindlinger;2014;no;Austria;pro res file;20 min;no;sixpackfilm;"";"";"";"";Cortometraje
Twelve Tales Told;johann lurf;johann lurf;2014;no;Austria;dcp;4 min;no;sixpackfilm;"";"";"";"";Cortometraje
Farewell to Hell;sabine marte;sabine marte;2014;german or english;Austria;pro res file;7 min;si;sixpackfilm;"";"";"";"";Cortometraje
Reign of Silence;lukas marxt;lukas marxt;2013;no;Austria;hdcam;8 min;no;sixpackfilm;Marler Videokunstpreis 2013, honroable mention @ Diagonale 2014 - Festival des österr. Films (18.3.2014-23.03.2014);"";"";"";Cortometraje
High Tide;lukas marxt;lukas marxt;2013;no;Austria;hdcam;8 min;no;sixpackfilm;Prize for Innovative Cinema @ Diagonale 2014 - Festival des österr. Films (18.3.2014-23.03.2014);"";"";"";Cortometraje
The Construction of ANSTALT3000;helmut munz;helmut munz;2013;english;Austria;dcp;5 min;no;sixpackfilm;"";"";"";"";Cortometraje
Zement;Bettina Nürnberg, Dirk Peuker;Bettina Nürnberg, Dirk Peuker;2014;german;Austria;pro res file;12 min;no;sixpackfilm;"";"";"";"";Cortometraje
Odessa Crash Test (Notes on Film 09);Norbert Pfaffenbichler;Norbert Pfaffenbichler;2014;no;Austria;dcp;6 min;no;sixpackfilm;"";"";"";"";Cortometraje
 Es gibt Bilder, weil es Wände gibt - Ein Prolog;sasha pirker;sasha pirker;2013;german;Austria;digibeta pal;11 min;no;sixpackfilm;"";"";"";"";Cortometraje
Exhibition Talks;sasha pirker, lotte schreiber;sasha pirker, lotte schreiber;2014;german;Austria;digibeta;9 min;si;sixpackfilm;"";"";"";"";Cortometraje
darkroom;billy roisz;billy roisz;2014;no;Austria;dcp;13 min;no;sixpackfilm;"";"";"";"";Cortometraje
O.T.;markus scherer;markus scherer;2014;no;Austria;dcp;4 min;no;sixpackfilm;1st Award Experimental @Wroclaw 14 – Era New Horizons (24.07.2014-3.08.2014);"";"";"";Cortometraje
Dear John;hans scheugl;hans scheugl;2014;english;Austria;dcp;42 min;si;sixpackfilm;"";"";"";"";Cortometraje
Minimal Vandalism;kay walkowiak;kay walkowiak;2013;no;Austria;dcp;4 min;no;sixpackfilm;"";"";"";"";Cortometraje
Adult Kids\ Games;Maja Gorczak;Maja Gorczak;2014;polish;Polonia;mp4;3  min;no;Maja Gorczak ;Encouragement Award;"";"";"";Cortometraje
Invisible Sister;Invisible Sister;Jamie Rogers & Erin St. Pierre;2014;English;Estados Unidos;ProRes LT file;20 min;si;Llama Films;Outstanding Documentary & Outstanding Non-Fiction Editing at the 33rd Annual EVVY Awards;"";"";"";Cortometraje
ALLER CONTRE;Nora Burlet;Véronique Duys;2014;French;Bélgica;DCP;18 min;si;Mediadiffusion;X;"";"";"";Cortometraje
JULIA;Nora Burlet;Véronique Duys;2013;French;Bélgica;ProRes LT files;12 min;si;Mediadiffusion;X;"";"";"";Cortometraje
Victoria;Catalina Aguayo;Daniela Sandoval;2014;Español;Chile;ProRes LT;15 min;no;Macedonia Producciones;Mención honrosa en Porn film festival Berlin, Alemania;"";"";"";Cortometraje
The Tour Guide;Amos Geva;Amos Geva;2014;Hebrew, German;Israel;DCP (24 fps);27 min;no;Deutsch Film und Fernsehakademie Berlin;"";"";"";"";Cortometraje
First Love;Woosung JEON;Dongjun KIM;2014;KOREAN;Corea del Sur;HDCAM / BETACAM DIGITAL / ProRes LT;25 min;si;Gsweet PRODUCTION;none;"";"";"";Cortometraje
12 Ángeles;Juan Pablo Grimaldos;Nicolas Tovar;2014;Español;Colombia;Archivos Digitales ProRes LT;18 min;no;Independiente;-;"";"";"";Cortometraje
por Adriano, A Mecânica fala comigo;José Simões;José Simões;2014;Portuguese;Portugal;archivos digitales MOV or MP4 ProRes;23 min;si;Ofício;"";"";"";"";Cortometraje
La Sangre Mezclada;Guido Villaclara;Guido Villaclara, Sol Salerno, Agustín Durante;2013;Castellano;Argentina;Archivos digitales;19 min;no;Guido Villaclara / Durante Salerno;-;"";"";"";Cortometraje
Camanchaca;Clio SIMON;Studio National de arts contemporains du Fresnoy;2014;Muda;Francia;DCP;14 min;no;Studio National de arts contemporains du Fresnoy;"";"";"";"";Cortometraje
deposizione in due atti;carlo michele schirinzi;gabriele russo / kama soc. coop. a.r.l.;2014;italian;Italia;dcp;15 min;no;kama soc. coop. a.r.l.;---;"";"";"";Cortometraje
De la Rage;Margo Fruitier;Institut des Arts de diffusion - IAD;2014;french;Bélgica;DCP, Prores;22 min;no;mediadiffusion;Award of Best International short film - Corto y Creo (Spain) AND Third award ALCINE (European Competition) (Spain);"";"";"";Cortometraje
Marble;Sofia Muñoz;Sofia Muñoz ;2014;Español;Italia;1920x1080 ProRes LT;00 min;si;Made in Cardamomo;"";"";"";"";Cortometraje
Los Días Que Cantamos;Meysam Motazedi;Soledad Vega;2014;Castellano ;Argentina;ProRes LT;27 min;si;FONDO Media Corp.;"";"";"";"";Cortometraje
Un día cualquiera;Juan Cordone;Juan Cordone;2014;Español;Argentina;ProRes;11 min;si;Juan Cordone;"";"";"";"";Cortometraje
Teatro;Juana Varela;Victoria Dieffenbacher;2014;Español;Argentina;ProRes;11 min;si;Juana ;"";"";"";"";Cortometraje
La Finitude;Gusty G Gutierrez;Gusty G Gutierrez, Gonzalo Menendez.;2014;Español, Francés, Italiano;Argentina;H264;9: min;no;Rec.It;Mención a la fotografía, La Noche Más Corta, Tandil.;"";"";"";Cortometraje
Love Bondi Story;Julio Caloggero y Gustavo Winkler;Julio Caloggero y Gustavo Winkler;2014;Español;Argentina;Archivos Digitales Prores lt;17 min;no;JC Films;Mejor Cortometraje Extranjero 6º Festival Internacional Latinuy, Punta del Este.;"";"";"";Cortometraje
MEDICINAS ANCESTRALES;Marcelo Rossi;Marcelo Rossi - Espantapájaros;2014;Español;Argentina;ProRes LT;17 min;no;Espantapájaros;"";"";"";"";Cortometraje
MAÑANA DE SOL;Marcelo Rossi;Marcelo Rossi - Espantapájaros;2014;Español;Argentina;ProRes LT;10 min;no;Espantapájaros;"";"";"";"";Cortometraje
Verde Sobre Negro;Laura Mastantuono;Andrés Passoni;2014;español;Argentina;Digital;10 min;no;-;-;"";"";"";Cortometraje
Ho ho ho ho!;Nicolás Tonnelier;Nicolás Tonnelier;2014;Inglés;Argentina;HDCAM;1: min;si;Nicolás Tonnelier;-;"";"";"";Cortometraje
Erasing Eden;Beth Dewey;Tina Pavlides;2014;English;Estados Unidos;DCP;75 min;si;Film Entity LLC;"";"";"";"";Cortometraje
Dr. Illegal;Hadi Khanjanpour;Martin Rohé;2014;german, persian;Alemania;DCP;26 min;si;Filmakademie Baden-Württemberg;"";"";"";"";Cortometraje
Time Capsule;Vivian Chen;Vivian Chen;2013;English;Estados Unidos;digital;10 min;si;Vivian Chen;"";"";"";"";Cortometraje
It\s Drizzling;Lien Chien Hung;Ko Chen Nien;2014;Chinese;Taiwán;DCP;25 min;no;independent;"";"";"";"";Cortometraje
SIN CONEXIÓN (NOCHE DE LLUVIA);Pablo Diartinez;Pablo Diartinez;2014;Existen dos versiones originales, una en español y otra en inglés;Bélgica;DCP 2K SCOPE 25 FPS 5.1 SURROUND ;8  min;si;Fusion Cinema;"";"";"";"";Cortometraje
hello;Goodby;Spilber;2014;inglish;Argentina;70mm;15 min;si;Cami;"";"";"";"";Cortometraje
Crear Memorias;Morenike Fajana;Augusto Alvarez;2014;Spanish;Alemania;HD 720p ;23 min;si;Crear Memorias Limited ;"";"";"";"";Cortometraje
Lost in the dust;Soran ebrahim;Soran ebrahim;2014;kurdish;Iraq;DCP;14 min;no;Ministry of martyrs & anfal affairs;best short film in malta;"";"";"";Cortometraje
Vacas, un vacío lleno de carne;José Mariano Pulfer;Matías Di Capua;2014;Español;Argentina;Digital Pro ress;23 min;no;Barbacoa Cine;-;"";"";"";Cortometraje
Komorebitachi;Sophie Perrier & Masanori Omori;Haute école d\art et de design de Genève;2014;Komorebitachi;Suiza;ProRes 422;15 min;no;Haute école d\art et de design;Visions du réel, Nyon, Switzerland, 2014;"";"";"";Cortometraje
La ventana abierta;Lucila Las Heras;Pablo Anzoátegui;2014;Castellano;Argentina;DCP;00 min;no;Leo Films;"Mejor cortometraje y Mejor Dirección en el Festival \""La mida no importa\"" (Barcelona, España)";"";"";"";Cortometraje
Anclamos en la Opera House, un dinosaurio cruza el puente, la AMT Tower despega a la estratósfera;Nicolás Tonnelier;Nicolás Tonnelier;2014;ninguno;Argentina;HDCAM;00 min;si;ninguna;-;"";"";"";Cortometraje
Frente Frío;Marcelo Filho;Marcelo Filho;2014;Español/Portugués;Argentina;DCP (24fps);15 min;si;Fundación Universidad del Cine;"";"";"";"";Cortometraje
Der Kaiser;Echeé Janga;Derk-Jan Warrink, Leontine Petit, Joost de Vries;2014;Dutch;Holanda;DCP;10 min;no;Lemming Film;n/a;"";"";"";Cortometraje
Cariñito;Luciana Garriga;Patricia Zapata;2014;español;Argentina;pro res;17 min;si;-;"";"";"";"";Cortometraje
El Duelo;Mariano Samengo;Lucas de Benedetti;2014;japonés;Argentina;hd prores;13 min;no;-;"";"";"";"";Cortometraje
Penélope;Cristopher Gama;Marco E. Casillas & Cristopher Gama;Marzo - Septiembre 2014;Español;México;DCP;36 min;si;Homeless Pictures;"";"";"";"";Cortometraje
Ulterior;Sabrina Muhate;Georgina Del Río;2014;No hay diálogos;México;DCP, archivos digitales ProRes LT y Blu-Ray;9 min;si;Centro Universitario de Estudios Cinematográficos;Macabro Film Festival-Mención honorífica, Zanate.Festival de cine y video Documental-Mención honorífica;"";"";"";Cortometraje
Off Track;JP Jacobsen;Drew Diamond;2014;Ingles / Español ;Estados Unidos;ProRes LT;13 min;si;Independently produced ;"";"";"";"";Cortometraje
The Awakening;Alejandro Gabriel Cuberos;Alejandro Gabriel Cuberos;2014;Inglés;Argentina;HD (.H264 o ProRes);9: min;no;Alejandro Gabriel Cuberos;"";"";"";"";Cortometraje
